,Boden type normal,EOL,A1-C4(kg co2),Boden type refurbished to,A1-C4(kg co2),Energy savings,,Water Savings,Resource Savings,
Calcium sulphate,,,,,,Electrcity,Thermal,Water Savings,alpha gypsum,beta gypsum
,NORTEC,Reuse,14.6,LOOP,3.41,93%,100%,100%,80%,90%
,NORTEC,Recycling,16.8,,4.1,0%,0%,0%,14%,56%
,NORTEC,Landfilling,13.1,,3.36,0%,0%,0%,0%,0%
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,FLOOR and more,Reuse,16.7,ADDLIFE,3.41,90%,100%,100%,80%,80%
,FLOOR and more,Recycling,18.73,,3.75,0%,0%,0%,14%,56%
,FLOOR and more,Landfilling,17.23,,3.13,0%,0%,0%,0%,0%
,,,,,,,,,,
,,,,,,,,,,
,NORIT,Landfilling,17.23,,3.13,0%,0%,0%,0%,0%
